X,Y
77.7058,-88.0273
76.3478,-88.3733
74.9834,-88.6698
73.6068,-88.9214
72.2247,-89.1301
70.8322,-89.2965
69.4402,-89.4193
68.0437,-89.5035
66.6471,-89.5533
65.245,-89.5687
63.8481,-89.5495
62.451,-89.4979
61.0512,-89.4154
59.6576,-89.3026
58.2649,-89.1591
56.877,-88.9853
55.4922,-88.7816
54.1145,-88.5522
52.739,-88.2968
51.3678,-88.0157
50.0016,-87.7092
48.6438,-87.3779
47.2944,-87.0226
45.9425,-86.6406
44.6035,-86.2362
43.2729,-85.8083
41.9471,-85.3557
40.6319,-84.8809
39.325,-84.3838
38.0251,-83.8635
36.7348,-83.3212
35.4577,-82.75
34.2156,-82.1092
33.0147,-81.3936
31.8588,-80.6028
30.7589,-79.7423
29.7118,-78.8105
28.7262,-77.8218
27.7981,-76.7735
26.9316,-75.6732
26.1187,-74.535
25.3578,-73.3609
24.6493,-72.1543
23.9876,-70.9236
23.3706,-69.6677
22.7952,-68.3909
22.2531,-67.1027
21.7428,-65.8015
21.2602,-64.4911
20.7986,-63.1677
20.3603,-61.838
19.9427,-60.5006
19.5362,-59.1643
19.137,-57.8236
18.7457,-56.4806
18.3571,-55.1337
17.9689,-53.791
17.5799,-52.4485
17.1817,-51.1044
16.7698,-49.7687
16.3429,-48.4377
15.8949,-47.111
15.4223,-45.7967
14.9193,-44.4871
14.3744,-43.2
13.7838,-41.933
13.1415,-40.6939
12.4361,-39.481
11.6651,-38.3119
10.8109,-37.2061
9.87166,-36.1677
8.84415,-35.2193
7.73186,-34.371
6.54026,-33.6439
5.27449,-33.0434
3.95853,-32.5776
2.5984,-32.241
1.2196,-32.0238
-0.172504,-31.9065
-1.57338,-31.8711
-2.97262,-31.9183
-4.36692,-32.0454
-5.75016,-32.2384
-7.12755,-32.4959
-8.48683,-32.8154
-9.82902,-33.1914
-11.1659,-33.6221
-12.4802,-34.1023
-13.7727,-34.6232
-15.0604,-35.1833
-16.3276,-35.7759
-17.5806,-36.3988
-18.8192,-37.0466
-20.0485,-37.722
-21.259,-38.4199
-22.4601,-39.1372
-23.6526,-39.866
-24.8416,-40.6095
-26.0184,-41.3623
-27.1864,-42.1225
-28.3593,-42.8952
-29.5233,-43.6715
-30.6808,-44.4476
-31.8478,-45.2292
-33.0107,-46.0072
-34.1455,-46.8286
-35.213,-47.7295
-36.2172,-48.7065
-37.1707,-49.7286
-38.0777,-50.7925
-38.9464,-51.8912
-39.7805,-53.0117
-40.5876,-54.1578
-41.3822,-55.3082
-42.1696,-56.4635
-42.9577,-57.6163
-43.7585,-58.7653
-44.5789,-59.9025
-45.4351,-61.0088
-46.3317,-62.0828
-47.2819,-63.1072
-48.2939,-64.0753
-49.3858,-64.9466
-50.5602,-65.7088
-51.813,-66.3292
-53.1324,-66.7926
-54.4985,-67.0913
-55.8808,-67.2977
-57.2729,-67.4347
-58.6717,-67.5018
-60.0707,-67.5006
-61.4659,-67.4378
-62.8616,-67.3135
-64.2457,-67.1288
-65.6213,-66.8873
-66.9914,-66.5923
-68.3477,-66.2452
-69.6908,-65.8479
-71.0179,-65.4122
-72.334,-64.9385
-73.6363,-64.4277
-74.9227,-63.8842
-76.2004,-63.308
-77.4626,-62.7022
-78.7113,-62.0672
-79.9451,-61.4124
-81.1697,-60.7362
-82.3829,-60.0397
-83.5873,-59.3246
-84.7809,-58.5952
-85.9656,-57.8504
-87.1412,-57.0903
-88.3047,-56.3168
-89.4635,-55.5305
-90.616,-54.7379
-91.764,-53.9378
-92.9073,-53.1303
-94.0433,-52.3172
-95.1782,-51.4967
-96.3092,-50.6736
-97.438,-49.8465
-98.5644,-49.0155
-99.686,-48.1825
-100.81,-47.3471
-101.935,-46.5154
-103.062,-45.6861
-104.191,-44.8593
-105.321,-44.0369
-106.453,-43.2148
-107.584,-42.3938
-108.719,-41.5703
-109.85,-40.7504
-110.98,-39.9253
-112.103,-39.0928
-113.224,-38.2493
-114.334,-37.401
-115.433,-36.5442
-116.53,-35.6674
-117.612,-34.7808
-118.674,-33.8783
-119.722,-32.9432
-120.744,-31.9868
-121.737,-31.0018
-122.697,-29.9842
-123.61,-28.9242
-124.462,-27.8142
-125.235,-26.6555
-125.916,-25.4252
-126.447,-24.1333
-126.792,-22.7778
-126.91,-21.3851
-126.753,-19.9998
-126.33,-18.6731
-125.669,-17.4337
-124.837,-16.3103
-123.848,-15.3267
-122.72,-14.4961
-121.497,-13.8242
-120.204,-13.3016
-118.854,-12.914
-117.486,-12.6373
-116.096,-12.4521
-114.702,-12.3426
-113.303,-12.3044
-111.905,-12.3171
-110.508,-12.3724
-109.117,-12.4636
-107.718,-12.5861
-106.327,-12.7386
-104.945,-12.9127
-103.553,-13.1028
-102.169,-13.3069
-100.79,-13.5211
-99.4054,-13.7433
-98.0236,-13.9721
-96.6445,-14.2076
-95.2654,-14.4485
-93.8868,-14.6843
-92.5065,-14.9139
-91.1261,-15.1368
-89.7447,-15.3532
-88.3636,-15.5596
-86.9733,-15.7534
-85.5882,-15.9307
-84.1971,-16.1028
-82.8208,-16.3331
-81.4508,-16.6333
-80.0976,-16.9849
-78.7569,-17.3819
-77.4326,-17.8165
-76.1091,-18.2872
-74.8028,-18.7885
-73.5098,-19.3084
-72.2105,-19.8415
-70.9201,-20.3817
-69.6316,-20.9239
-68.3418,-21.4614
-67.0441,-21.9962
-65.7444,-22.5085
-64.4309,-22.9959
-63.1089,-23.4542
-61.7749,-23.8719
-60.4264,-24.2475
-59.0651,-24.5715
-57.6898,-24.8227
-56.3025,-24.9999
-54.9125,-25.0956
-53.5069,-25.1022
-52.1122,-25.0116
-50.7307,-24.7983
-49.3795,-24.4397
-48.0762,-23.9329
-46.8407,-23.278
-45.6903,-22.4883
-44.6304,-21.5701
-43.6825,-20.5416
-42.8497,-19.417
-42.1283,-18.2202
-41.5224,-16.9599
-41.0361,-15.6471
-40.6668,-14.3005
-40.4138,-12.9233
-40.2801,-11.5303
-40.2591,-10.1335
-40.3478,-8.73814
-40.546,-7.35272
-40.8499,-5.99275
-41.2609,-4.64939
-41.7721,-3.34656
-42.3785,-2.08715
-43.0772,-0.875962
-43.8714,0.271106
-44.7705,1.34726
-45.7599,2.33754
-46.8261,3.23765
-47.9687,4.05028
-49.1637,4.77486
-50.4077,5.41258
-51.6881,5.97735
-52.9929,6.48385
-54.3189,6.93312
-55.6542,7.33552
-57.0102,7.69732
-58.3686,8.02855
-59.7325,8.33632
-61.0981,8.62757
-62.4707,8.91115
-63.8435,9.18563
-65.2178,9.45439
-66.5866,9.73451
-67.9542,10.0299
-69.3186,10.3403
-70.6722,10.6709
-72.029,11.0329
-73.3727,11.422
-74.6996,11.8492
-76.0192,12.3303
-77.3147,12.8596
-78.5841,13.4435
-79.8274,14.0897
-81.0364,14.7951
-82.1985,15.5691
-83.312,16.4179
-84.375,17.3296
-85.4179,18.2615
-86.4476,19.2081
-87.4572,20.1692
-88.4519,21.1567
-89.4253,22.1664
-90.3655,23.199
-91.2785,24.2631
-92.1466,25.3595
-92.958,26.4943
-93.7147,27.6755
-94.3926,28.8954
-94.9921,30.1629
-95.4774,31.474
-95.8348,32.826
-96.0485,34.2069
-96.1043,35.6053
-95.9994,37.0001
-95.7132,38.3677
-95.2437,39.6848
-94.6031,40.9282
-93.816,42.08
-92.8951,43.1366
-91.8835,44.1012
-90.7904,44.9752
-89.6397,45.7632
-88.4286,46.4715
-87.1828,47.1066
-85.9056,47.6761
-84.6066,48.1804
-83.2744,48.6287
-81.9319,49.0183
-80.5773,49.3633
-79.2132,49.6729
-77.8392,49.9471
-76.4616,50.1846
-75.0757,50.3864
-73.6861,50.551
-72.2946,50.6747
-70.8978,50.7571
-69.4986,50.798
-68.0996,50.7973
-66.7007,50.755
-65.3055,50.6692
-63.9133,50.538
-62.5238,50.3613
-61.1422,50.1395
-59.7687,49.8729
-58.4045,49.5605
-57.0554,49.1973
-55.7196,48.7817
-54.4002,48.3146
-53.0993,47.7965
-51.821,47.2293
-50.5705,46.6142
-49.3376,45.9445
-48.1348,45.2263
-46.9646,44.4597
-45.8286,43.6451
-44.7321,42.7747
-43.7622,41.7684
-42.967,40.6206
-42.3492,39.3716
-41.887,38.0456
-41.5364,36.6923
-41.2662,35.3251
-41.0464,33.9371
-40.8458,32.5532
-40.6359,31.1722
-40.392,29.7917
-40.0744,28.4334
-39.6576,27.0941
-39.111,25.8087
-38.4071,24.5992
-37.5285,23.5122
-36.4951,22.5707
-35.3632,21.7494
-34.1533,21.0529
-32.8726,20.4868
-31.5402,20.06
-30.1689,19.79
-28.7763,19.6891
-27.3789,19.759
